grade,kanji
5,久
5,仏
5,仮
5,件
5,任
5,似
5,余
5,価
5,保
5,修
5,個
5,停
5,備
5,像
5,再
5,刊
5,判
5,制
5,則
5,効
5,務
5,勢
5,厚
5,句
5,可
5,史
5,告
5,喜
5,営
5,因
5,団
5,囲
5,圧
5,在
5,均
5,型
5,基
5,堂
5,報
5,境
5,墓
5,増
5,士
5,夢
5,妻
5,婦
5,容
5,寄
5,導
5,居
5,属
5,布
5,師
5,常
5,幹
5,序
5,弁
5,張
5,往
5,得
5,復
5,志
5,応
5,快
5,性
5,情
5,態
5,慣
5,技
5,招
5,授
5,採
5,接
5,提
5,損
5,支
5,政
5,故
5,救
5,断
5,旧
5,易
5,暴
5,条
5,枝
5,査
5,格
5,桜
5,検
5,構
5,武
5,歴
5,殺
5,毒
5,比
5,永
5,河
5,液
5,混
5,減
5,測
5,準
5,演
5,潔
5,災
5,燃
5,版
5,犯
5,状
5,独
5,率
5,現
5,留
5,略
5,益
5,眼
5,破
5,確
5,示
5,祖
5,禁
5,移
5,程
5,税
5,築
5,粉
5,精
5,紀
5,素
5,経
5,統
5,絶
5,綿
5,総
5,編
5,績
5,織
5,罪
5,義
5,耕
5,職
5,肥
5,能
5,脈
5,興
5,舎
5,航
5,術
5,衛
5,製
5,複
5,規
5,解
5,設
5,許
5,証
5,評
5,講
5,謝
5,識
5,護
5,豊
5,象
5,財
5,貧
5,責
5,貯
5,貸
5,費
5,貿
5,資
5,賛
5,賞
5,質
5,輸
5,述
5,迷
5,逆
5,造
5,過
5,適
5,酸
5,鉱
5,銅
5,防
5,限
5,険
5,際
5,雑
5,非
5,領
5,額
5,飼
